iter	Passed	Remaining
582	110197	78820
583	110385	78631
584	110580	78445
585	110781	78265
586	110979	78083
587	111159	77887
588	111355	77703
589	111565	77528
590	111760	77343
591	111968	77167
592	112171	76988
593	112352	76793
594	112562	76617
595	112769	76441
596	112994	76275
597	113205	76101
598	113391	75909
599	113588	75725
600	113799	75550
601	114014	75378
602	114209	75192
603	114415	75013
604	114606	74826
605	114801	74639
606	114996	74454
607	115216	74284
608	115423	74106
609	115622	73922
610	115824	73740
611	116008	73548
612	116201	73360
613	116415	73186
614	116631	73013
615	116821	72824
616	117038	72650
617	117228	72461
618	117421	72274
619	117625	72092
620	117824	71908
621	118029	71728
622	118225	71542
623	118421	71356
624	118619	71171
625	118822	70989
626	119030	70810
627	119237	70631
628	119439	70448
629	119623	70255
630	119814	70065
631	120015	69882
632	120227	69705
633	120431	69523
634	120638	69343
635	120882	69184
636	121093	69006
637	121315	68833
638	121528	68656
639	121723	68469
640	121946	68297
641	122153	68116
642	122377	67945
643	122571	67756
644	122789	67581
645	122991	67397
646	123185	67209
647	123402	67033
648	123592	66842
649	123807	66665
650	124016	66484
651	124235	66309
652	124461	66137
653	124671	65957
654	124903	65788
655	125110	65606
656	125328	65430
657	125517	65238
658	125719	65053
659	125931	64873
660	126125	64684
661	126325	64498
662	126544	64321
663	126815	64171
664	127018	63987
665	127230	63806
666	127427	63618
667	127659	63447
668	127840	63251
669	128059	63073
670	128276	62895
671	128496	62718
672	128718	62542
673	128954	62372
674	129201	62208
675	129409	62024
676	129624	61844
677	129844	61666
678	130059	61486
679	130278	61307
680	130502	61130
681	130711	60947
682	130957	60781
683	131172	60600
684	131389	60420
685	131627	60249
686	131827	60060
687	132060	59888
688	132262	59700
689	132461	59511
690	132653	59319
691	132848	59129
692	133062	58947
693	133262	58758
694	133458	58567
695	133657	58379
696	133849	58187
697	134038	57993
698	134233	57802
699	134436	57615
700	134650	57432
701	134844	57241
702	135056	57058
703	135258	56870
704	135455	56680
705	135646	56487
706	135849	56299
707	136050	56111
708	136252	55923
709	136497	55752
710	136694	55562
711	136907	55378
712	137113	55191
713	137330	55009
714	137549	54827
715	137776	54648
716	138011	54473
717	138218	54286
718	138445	54107
719	138662	53924
720	138880	53741
721	139089	53555
722	139339	53384
723	139569	53206
724	139761	53012
725	139975	52828
726	140162	52633
727	140362	52443
728	140548	52247
729	140750	52058
730	140943	51865
731	141146	51676
732	141355	51489
733	141562	51301
734	141792	51122
735	142004	50936
736	142209	50747
737	142417	50560
738	142607	50365
739	142812	50177
740	143018	49989
741	143222	49799
742	143437	49614
743	143638	49424
744	143846	49236
745	144051	49047
746	144268	48861
747	144465	48670
748	144660	48477
749	144861	48287
750	145058	48095
751	145251	47902
752	145458	47713
753	145650	47519
754	145863	47333
755	146080	47147
756	146285	46958
757	146502	46772
758	146703	46581
759	146915	46394
760	147117	46203
761	147323	46014
762	147528	45824
763	147728	45633
764	147929	45442
765	148121	45248
766	148339	45062
767	148527	44867
768	148727	44676
769	148906	44478
770	149117	44290
771	149305	44095
772	149520	43908
773	149707	43713
774	149922	43525
775	150121	43333
776	150332	43145
777	150529	42953
778	150738	42763
779	150945	42574
780	151156	42385
781	151356	42193
782	151563	42004
783	151754	41809
784	151951	41617
785	152136	41421
786	152344	41231
787	152546	41040
788	152761	40852
789	152957	40659
790	153206	40480
791	153385	40283
792	153604	40096
793	153804	39903
794	154024	39716
795	154245	39530
796	154468	39344
797	154691	39157
798	154915	38971
799	155138	38784
800	155349	38594
801	155551	38402
802	155761	38213
803	156010	38032
804	156215	37841
805	156436	37653
806	156619	37456
807	156822	37264
808	157020	37071
809	157230	36881
810	157421	36686
811	157633	36496
812	157846	36306
813	158079	36121
814	158291	35931
815	158499	35740
816	158697	35546
817	158908	35356
818	159098	35160
819	159315	34971
820	159500	34775
821	159709	34584
822	159918	34393
823	160130	34202
824	160325	34008
825	160545	33819
826	160751	33627
827	160968	33437
828	161159	33242
829	161385	33054
830	161594	32863
831	161806	32672
832	161988	32475
833	162186	32281
834	162397	32090
835	162607	31899
836	162815	31707
837	163021	31514
838	163224	31321
839	163420	31127
840	163617	30933
841	163822	30741
842	164014	30545
843	164227	30354
844	164427	30161
845	164640	29969
846	164862	29780
847	165065	29587
848	165273	29395
849	165474	29201
850	165692	29010
851	165887	28816
852	166093	28623
853	166302	28431
854	166510	28238
855	166709	28044
856	166920	27852
857	167111	27657
858	167327	27465
859	167536	27273
860	167723	27077
861	167933	26884
862	168120	26688
863	168348	26499
864	168560	26307
865	168787	26117
866	168995	25924
867	169216	25733
868	169420	25539
869	169644	25349
870	169861	25157
871	170074	24965
872	170277	24771
873	170522	24583
874	170734	24390
875	170964	24200
876	171183	24008
877	171409	23817
878	171621	23624
879	171838	23432
880	172056	23240
881	172262	23046
882	172485	22854
883	172680	22659
884	172909	22468
885	173114	22274
886	173318	22080
887	173513	21884
888	173735	21692
889	173949	21499
890	174149	21304
891	174355	21110
892	174564	20916
893	174760	20720
894	174970	20527
895	175165	20331
896	175362	20136
897	175566	19941
898	175798	19750
899	175977	19553
900	176199	19360
901	176402	19165
902	176617	18972
903	176817	18777
904	177031	18583
905	177236	18388
906	177450	18195
907	177664	18001
908	177887	17808
909	178088	17613
910	178300	17418
911	178502	17223
912	178706	17029
913	178921	16835
914	179148	16642
915	179375	16449
916	179598	16255
917	179789	16059
918	180000	15865
919	180199	15669
920	180401	15474
921	180598	15278
922	180790	15082
923	181006	14888
924	181193	14691
925	181405	14496
926	181618	14302
927	181824	14107
928	182049	13913
929	182260	13718
930	182464	13523
931	182658	13327
932	182859	13131
933	183062	12935
934	183263	12740
935	183472	12545
936	183668	12349
937	183873	12153
938	184069	11957
939	184276	11762
940	184466	11565
941	184728	11373
942	184972	11180
943	185224	10987
944	185451	10793
945	185644	10597
946	185877	10402
947	186081	10207
948	186308	10012
949	186534	9817
950	186747	9622
951	186972	9427
952	187168	9230
953	187404	9036
954	187630	8841
955	187850	8645
956	188070	8450
957	188265	8253
958	188477	8057
959	188671	7861
960	188925	7667
961	189121	7470
962	189325	7274
963	189523	7077
964	189729	6881
965	189930	6684
966	190127	6488
967	190339	6292
968	190542	6095
969	190752	5899
970	190962	5703
971	191158	5506
972	191388	5310
973	191599	5114
974	191803	4918
975	191995	4721
976	192217	4525
977	192404	4328
978	192622	4131
979	192830	3935
980	193046	3738
981	193257	3542
982	193453	3345
983	193688	3149
984	193879	2952
985	194085	2755
986	194273	2558
987	194487	2362
988	194702	2165
989	194905	1968
990	195110	1771
991	195309	1575
992	195537	1378
993	195741	1181
994	195946	984
995	196146	787
996	196341	590
997	196551	393
998	196730	196
999	196959	0
